,SoBD,Toan,Van,Anh,Ly,Hoa,Sinh,Su,Dia,GDCD,Unnamed: 10,KhoiA,KhoiB,KhoiC,KhoiD,KhoiA1,Ma Tinh,Ten Tinh,Vung mien
299972,299973,3.6,4.5,2.6,2.75,2.5,5.75,3.75,6.25,7.25,,8.85,11.85,14.5,10.7,8.95,37, Binh Dinh,Mien Trung - TN
300007,300008,5.0,3.75,3.8,4.0,1.5,6.25,4.25,5.5,7.0,,10.5,12.75,13.5,12.55,12.8,37, Binh Dinh,Mien Trung - TN
300014,300015,4.8,6.25,1.6,3.5,4.5,4.75,2.25,3.25,6.5,,12.8,14.05,11.75,12.65,9.9,37, Binh Dinh,Mien Trung - TN
300016,300017,3.2,5.75,2.6,2.5,2.25,3.5,3.0,5.75,4.0,,7.95,8.95,14.5,11.55,8.3,37, Binh Dinh,Mien Trung - TN
300017,300018,4.2,4.75,3.4,5.0,3.75,4.25,2.25,5.25,7.5,,12.95,12.2,12.25,12.35,12.6,37, Binh Dinh,Mien Trung - TN
300018,300019,4.2,3.75,4.6,2.5,3.5,4.5,4.25,5.25,5.75,,10.2,12.2,13.25,12.55,11.3,37, Binh Dinh,Mien Trung - TN
300019,300020,4.6,4.75,2.6,1.75,2.0,3.5,4.0,6.25,8.75,,8.35,10.1,15.0,11.95,8.95,37, Binh Dinh,Mien Trung - TN
300021,300022,4.6,6.25,2.8,2.25,3.5,3.5,1.75,3.25,5.75,,10.35,11.6,11.25,13.65,9.65,37, Binh Dinh,Mien Trung - TN
300022,300023,1.8,4.75,2.8,4.5,3.0,5.25,3.0,5.0,6.75,,9.3,10.05,12.75,9.35,9.1,37, Binh Dinh,Mien Trung - TN
300040,300041,3.8,5.25,1.6,2.5,3.0,3.25,2.0,5.25,6.0,,9.3,10.05,12.5,10.65,7.9,37, Binh Dinh,Mien Trung - TN
300049,300050,4.0,6.25,2.8,1.75,3.25,4.0,2.5,4.75,8.0,,9.0,11.25,13.5,13.05,8.55,37, Binh Dinh,Mien Trung - TN
300050,300051,3.2,2.5,3.0,2.75,3.0,3.75,3.0,4.25,7.0,,8.95,9.95,9.75,8.7,8.95,37, Binh Dinh,Mien Trung - TN
300052,300053,5.4,4.0,2.6,3.5,4.75,3.0,1.75,4.25,7.0,,13.65,13.15,10.0,12,11.5,37, Binh Dinh,Mien Trung - TN
300054,300055,3.4,3.5,3.2,3.5,2.75,4.25,2.5,3.5,5.0,,9.65,10.4,9.5,10.1,10.1,37, Binh Dinh,Mien Trung - TN
300056,300057,4.6,5.75,3.4,4.0,3.75,3.25,2.25,6.25,8.5,,12.35,11.6,14.25,13.75,12.0,37, Binh Dinh,Mien Trung - TN
300057,300058,5.4,5.25,4.6,5.5,5.0,2.75,2.5,5.25,5.75,,15.9,13.15,13.0,15.25,15.5,37, Binh Dinh,Mien Trung - TN
300058,300059,2.4,5.0,3.4,2.0,2.75,2.0,3.75,5.75,7.25,,7.15,7.15,14.5,10.8,7.8,37, Binh Dinh,Mien Trung - TN
300061,300062,4.8,3.75,2.2,4.5,6.0,4.0,2.75,3.25,5.5,,15.3,14.8,9.75,10.75,11.5,37, Binh Dinh,Mien Trung - TN
300062,300063,4.6,5.75,4.4,2.5,3.5,5.25,3.25,6.0,6.5,,10.6,13.35,15.0,14.75,11.5,37, Binh Dinh,Mien Trung - TN
300063,300064,4.0,6.0,2.4,2.5,1.75,3.5,4.0,4.5,8.0,,8.25,9.25,14.5,12.4,8.9,37, Binh Dinh,Mien Trung - TN
300099,300100,3.8,3.5,2.0,3.0,3.75,3.5,2.25,4.0,5.5,,10.55,11.05,9.75,9.3,8.8,37, Binh Dinh,Mien Trung - TN
300101,300102,2.4,4.5,3.8,3.75,2.25,2.25,2.75,2.5,3.25,,8.4,6.9,9.75,10.7,9.95,37, Binh Dinh,Mien Trung - TN
300105,300106,6.0,5.25,6.8,4.25,3.75,4.25,3.5,2.75,6.5,,14.0,14.0,11.5,18.05,17.05,37, Binh Dinh,Mien Trung - TN
300113,300114,5.4,7.5,4.2,4.5,5.0,6.75,4.75,8.5,7.75,,14.9,17.15,20.75,17.1,14.1,37, Binh Dinh,Mien Trung - TN
300119,300120,4.4,6.75,4.4,3.25,2.5,3.0,4.25,6.5,7.0,,10.15,9.9,17.5,15.55,12.05,37, Binh Dinh,Mien Trung - TN
300120,300121,4.8,5.25,3.8,2.5,4.25,4.0,3.75,1.75,1.5,,11.55,13.05,10.75,13.85,11.1,37, Binh Dinh,Mien Trung - TN
300121,300122,2.0,5.0,3.0,3.5,2.25,2.75,3.25,5.25,4.75,,7.75,7.0,13.5,10,8.5,37, Binh Dinh,Mien Trung - TN
300122,300123,2.4,2.75,2.8,2.75,3.25,5.0,4.0,4.75,6.0,,8.4,10.65,11.5,7.95,7.95,37, Binh Dinh,Mien Trung - TN
300123,300124,1.8,5.0,2.2,3.25,3.0,4.5,5.5,5.25,8.5,,8.05,9.3,15.75,9,7.25,37, Binh Dinh,Mien Trung - TN
300148,300149,3.0,3.5,2.6,2.5,3.0,3.0,3.25,4.5,6.75,,8.5,9.0,11.25,9.1,8.1,37, Binh Dinh,Mien Trung - TN
300153,300154,5.0,8.25,3.4,3.5,3.75,4.0,4.0,6.5,8.25,,12.25,12.75,18.75,16.65,11.9,37, Binh Dinh,Mien Trung - TN
300158,300159,4.0,5.25,3.0,2.5,3.75,2.0,2.5,3.75,4.75,,10.25,9.75,11.5,12.25,9.5,37, Binh Dinh,Mien Trung - TN
300161,300162,4.2,6.75,4.4,2.0,3.5,5.0,4.0,6.25,7.75,,9.7,12.7,17.0,15.35,10.6,37, Binh Dinh,Mien Trung - TN
300169,300170,5.6,6.0,3.2,3.0,2.0,3.25,3.5,3.0,7.0,,10.6,10.85,12.5,14.8,11.8,37, Binh Dinh,Mien Trung - TN
300172,300173,4.0,6.0,3.0,2.75,3.25,4.0,3.5,4.5,6.75,,10.0,11.25,14.0,13,9.75,37, Binh Dinh,Mien Trung - TN
300173,300174,4.8,6.25,4.8,3.0,4.0,3.75,4.25,7.0,8.75,,11.8,12.55,17.5,15.85,12.6,37, Binh Dinh,Mien Trung - TN
300175,300176,3.0,5.25,4.0,3.75,3.25,3.0,1.75,4.0,6.0,,10.0,9.25,11.0,12.25,10.75,37, Binh Dinh,Mien Trung - TN
300176,300177,3.8,3.75,3.0,4.75,3.75,2.0,4.25,5.75,7.5,,12.3,9.55,13.75,10.55,11.55,37, Binh Dinh,Mien Trung - TN
300189,300190,4.4,5.5,3.6,3.0,4.25,3.0,4.0,5.0,7.25,,11.65,11.65,14.5,13.5,11.0,37, Binh Dinh,Mien Trung - TN
300190,300191,6.2,5.5,3.4,6.25,5.75,7.0,3.75,5.5,6.5,,18.2,18.95,14.75,15.1,15.85,37, Binh Dinh,Mien Trung - TN
300191,300192,3.0,5.5,2.2,3.25,3.25,4.5,3.5,5.75,6.5,,9.5,10.75,14.75,10.7,8.45,37, Binh Dinh,Mien Trung - TN
300192,300193,4.8,4.25,2.8,4.5,4.0,4.75,5.5,7.0,7.5,,13.3,13.55,16.75,11.85,12.1,37, Binh Dinh,Mien Trung - TN
300193,300194,4.0,4.5,2.0,4.25,3.25,3.75,4.25,4.75,7.75,,11.5,11.0,13.5,10.5,10.25,37, Binh Dinh,Mien Trung - TN
300194,300195,3.6,5.0,3.6,3.5,2.5,5.0,3.5,5.75,8.75,,9.6,11.1,14.25,12.2,10.7,37, Binh Dinh,Mien Trung - TN
300195,300196,2.2,2.75,2.0,3.5,3.5,4.25,4.0,3.5,5.75,,9.2,9.95,10.25,6.95,7.7,37, Binh Dinh,Mien Trung - TN
300196,300197,1.8,5.0,2.0,1.75,2.5,2.75,2.25,5.25,6.0,,6.05,7.05,12.5,8.8,5.55,37, Binh Dinh,Mien Trung - TN
300198,300199,4.4,3.75,1.2,3.75,2.5,4.5,5.5,7.75,7.25,,10.65,11.4,17.0,9.35,9.35,37, Binh Dinh,Mien Trung - TN
300235,300236,3.8,5.0,3.0,2.0,2.75,4.25,3.75,3.5,5.5,,8.55,10.8,12.25,11.8,8.8,37, Binh Dinh,Mien Trung - TN
300240,300241,5.0,4.0,2.0,3.0,4.0,5.5,2.0,5.0,5.5,,12.0,14.5,11.0,11,10.0,37, Binh Dinh,Mien Trung - TN
300245,300246,5.0,6.25,3.4,5.5,3.75,3.75,4.0,6.25,7.75,,14.25,12.5,16.5,14.65,13.9,37, Binh Dinh,Mien Trung - TN
300247,300248,5.6,7.0,5.2,3.5,4.25,4.0,5.75,5.75,8.0,,13.35,13.85,18.5,17.8,14.3,37, Binh Dinh,Mien Trung - TN
300253,300254,3.8,3.0,2.8,5.5,4.25,3.0,4.25,5.25,5.0,,13.55,11.05,12.5,9.6,12.1,37, Binh Dinh,Mien Trung - TN
300254,300255,3.6,4.5,2.6,3.25,3.75,3.0,3.75,5.0,5.75,,10.6,10.35,13.25,10.7,9.45,37, Binh Dinh,Mien Trung - TN
300255,300256,5.8,6.25,2.6,5.75,4.75,5.0,4.0,4.75,7.5,,16.3,15.55,15.0,14.65,14.15,37, Binh Dinh,Mien Trung - TN
300258,300259,3.8,5.0,4.0,5.75,3.0,4.75,3.25,4.5,7.25,,12.55,11.55,12.75,12.8,13.55,37, Binh Dinh,Mien Trung - TN
300259,300260,5.4,3.75,2.2,3.5,5.25,5.25,3.75,5.0,7.25,,14.15,15.9,12.5,11.35,11.1,37, Binh Dinh,Mien Trung - TN
300260,300261,1.8,5.25,2.6,2.5,2.5,3.25,3.5,4.25,6.0,,6.8,7.55,13.0,9.65,6.9,37, Binh Dinh,Mien Trung - TN
300261,300262,4.6,6.25,3.2,5.0,6.25,6.0,4.25,8.0,8.25,,15.85,16.85,18.5,14.05,12.8,37, Binh Dinh,Mien Trung - TN
300262,300263,3.6,3.25,3.0,3.75,3.0,3.5,3.0,5.25,7.5,,10.35,10.1,11.5,9.85,10.35,37, Binh Dinh,Mien Trung - TN
300263,300264,4.6,3.5,3.2,3.5,3.5,3.75,3.75,4.75,7.25,,11.6,11.85,12.0,11.3,11.3,37, Binh Dinh,Mien Trung - TN
300264,300265,3.8,3.75,2.4,4.0,2.5,1.25,2.75,4.75,7.0,,10.3,7.55,11.25,9.95,10.2,37, Binh Dinh,Mien Trung - TN
300265,300266,3.2,3.75,2.0,2.5,3.5,2.0,2.5,4.75,7.25,,9.2,8.7,11.0,8.95,7.7,37, Binh Dinh,Mien Trung - TN
300268,300269,5.2,5.75,6.0,3.5,4.25,3.0,3.0,5.0,6.75,,12.95,12.45,13.75,16.95,14.7,37, Binh Dinh,Mien Trung - TN
300269,300270,4.6,5.75,3.6,4.25,3.5,3.0,4.5,6.5,7.5,,12.35,11.1,16.75,13.95,12.45,37, Binh Dinh,Mien Trung - TN
300277,300278,3.2,3.5,3.2,2.75,2.25,2.75,2.25,4.5,5.75,,8.2,8.2,10.25,9.9,9.15,37, Binh Dinh,Mien Trung - TN
300278,300279,2.4,5.0,2.8,3.5,2.75,2.75,3.0,2.25,7.75,,8.65,7.9,10.25,10.2,8.7,37, Binh Dinh,Mien Trung - TN
300303,300304,2.8,3.25,2.4,2.75,2.5,3.0,4.25,4.75,6.75,,8.05,8.3,12.25,8.45,7.95,37, Binh Dinh,Mien Trung - TN
300305,300306,4.4,3.5,2.2,2.0,1.25,4.5,2.75,4.25,5.0,,7.65,10.15,10.5,10.1,8.6,37, Binh Dinh,Mien Trung - TN
300309,300310,4.8,5.75,4.4,1.0,2.75,6.25,4.5,3.5,5.25,,8.55,13.8,13.75,14.95,10.2,37, Binh Dinh,Mien Trung - TN
300310,300311,5.4,4.25,1.6,2.5,5.5,6.75,5.25,4.0,7.25,,13.4,17.65,13.5,11.25,9.5,37, Binh Dinh,Mien Trung - TN
300311,300312,5.8,6.25,3.2,4.25,6.0,5.5,3.25,7.0,8.5,,16.05,17.3,16.5,15.25,13.25,37, Binh Dinh,Mien Trung - TN
300313,300314,4.4,5.25,3.8,6.5,5.0,5.25,2.75,5.75,6.5,,15.9,14.65,13.75,13.45,14.7,37, Binh Dinh,Mien Trung - TN
300314,300315,4.4,3.75,3.2,3.75,2.5,5.25,2.75,6.25,5.75,,10.65,12.15,12.75,11.35,11.35,37, Binh Dinh,Mien Trung - TN
300317,300318,4.2,4.25,2.8,4.5,2.25,4.25,5.75,6.75,8.5,,10.95,10.7,16.75,11.25,11.5,37, Binh Dinh,Mien Trung - TN
300332,300333,4.6,3.5,3.8,3.5,3.5,4.0,4.25,6.5,6.75,,11.6,12.1,14.25,11.9,11.9,37, Binh Dinh,Mien Trung - TN
300333,300334,3.0,4.25,2.6,3.25,3.0,4.25,3.25,5.75,5.75,,9.25,10.25,13.25,9.85,8.85,37, Binh Dinh,Mien Trung - TN
300338,300339,2.4,2.25,1.6,2.75,3.25,3.0,2.5,2.5,3.75,,8.4,8.65,7.25,6.25,6.75,37, Binh Dinh,Mien Trung - TN
300342,300343,5.2,3.5,3.6,2.0,1.5,5.0,3.0,5.75,6.5,,8.7,11.7,12.25,12.3,10.8,37, Binh Dinh,Mien Trung - TN
300359,300360,2.4,4.5,1.8,2.5,2.25,3.5,4.25,6.0,7.0,,7.15,8.15,14.75,8.7,6.7,37, Binh Dinh,Mien Trung - TN
300367,300368,4.6,5.25,1.8,3.5,4.0,3.5,3.75,5.0,7.75,,12.1,12.1,14.0,11.65,9.9,37, Binh Dinh,Mien Trung - TN
300368,300369,3.0,2.75,2.6,2.75,3.75,2.5,2.25,4.25,7.25,,9.5,9.25,9.25,8.35,8.35,37, Binh Dinh,Mien Trung - TN
300369,300370,3.0,5.0,2.6,4.0,4.0,4.5,3.0,4.75,6.25,,11.0,11.5,12.75,10.6,9.6,37, Binh Dinh,Mien Trung - TN
300371,300372,4.2,4.25,2.4,4.0,3.5,3.5,2.75,5.25,7.25,,11.7,11.2,12.25,10.85,10.6,37, Binh Dinh,Mien Trung - TN
300372,300373,4.0,4.5,3.2,3.25,2.5,5.25,4.5,6.25,8.0,,9.75,11.75,15.25,11.7,10.45,37, Binh Dinh,Mien Trung - TN
300373,300374,4.6,5.75,2.6,4.0,4.5,4.0,3.5,4.75,7.5,,13.1,13.1,14.0,12.95,11.2,37, Binh Dinh,Mien Trung - TN
300374,300375,4.4,4.75,2.8,3.0,4.0,4.75,1.75,4.25,6.5,,11.4,13.15,10.75,11.95,10.2,37, Binh Dinh,Mien Trung - TN
300376,300377,4.8,4.75,2.4,2.0,4.25,3.0,4.5,4.25,7.0,,11.05,12.05,13.5,11.95,9.2,37, Binh Dinh,Mien Trung - TN
300377,300378,3.2,2.5,3.4,2.25,2.25,3.75,3.75,6.25,7.5,,7.7,9.2,12.5,9.1,8.85,37, Binh Dinh,Mien Trung - TN
300378,300379,4.4,5.0,2.6,2.0,2.25,4.75,3.25,5.0,8.75,,8.65,11.4,13.25,12,9.0,37, Binh Dinh,Mien Trung - TN
300379,300380,5.8,5.5,4.2,3.75,5.0,5.5,4.0,4.0,7.0,,14.55,16.3,13.5,15.5,13.75,37, Binh Dinh,Mien Trung - TN
300405,300406,3.4,7.5,3.8,3.5,2.25,3.25,4.75,5.5,7.75,,9.15,8.9,17.75,14.7,10.7,37, Binh Dinh,Mien Trung - TN
300408,300409,4.8,6.25,2.4,4.75,3.5,5.0,3.75,5.0,7.0,,13.05,13.3,15.0,13.45,11.95,37, Binh Dinh,Mien Trung - TN
300447,300448,5.6,5.0,2.8,3.5,3.25,3.5,4.0,4.25,7.25,,12.35,12.35,13.25,13.4,11.9,37, Binh Dinh,Mien Trung - TN
300448,300449,4.0,5.75,3.4,3.25,5.25,5.75,5.0,4.25,6.5,,12.5,15.0,15.0,13.15,10.65,37, Binh Dinh,Mien Trung - TN
300468,300469,5.8,6.0,3.8,4.25,3.25,3.75,2.75,5.75,7.25,,13.3,12.8,14.5,15.6,13.85,37, Binh Dinh,Mien Trung - TN
300469,300470,4.8,6.5,6.2,6.25,2.25,4.25,4.5,7.5,9.5,,13.3,11.3,18.5,17.5,17.25,37, Binh Dinh,Mien Trung - TN
300471,300472,5.2,4.5,2.4,5.0,4.75,4.5,3.0,4.25,3.75,,14.95,14.45,11.75,12.1,12.6,37, Binh Dinh,Mien Trung - TN
300481,300482,3.4,3.0,2.2,2.0,2.75,5.0,3.0,4.5,8.0,,8.15,11.15,10.5,8.6,7.6,37, Binh Dinh,Mien Trung - TN
300482,300483,4.0,3.0,2.6,2.25,1.25,5.0,5.0,5.0,6.5,,7.5,10.25,13.0,9.6,8.85,37, Binh Dinh,Mien Trung - TN
300500,300501,3.4,5.0,3.4,2.25,2.25,2.75,2.75,5.0,7.75,,7.9,8.4,12.75,11.8,9.05,37, Binh Dinh,Mien Trung - TN
300505,300506,5.0,6.0,3.4,3.0,2.25,4.0,5.0,6.25,7.5,,10.25,11.25,17.25,14.4,11.4,37, Binh Dinh,Mien Trung - TN
300506,300507,2.6,3.5,3.2,2.0,3.25,2.75,5.0,6.75,6.75,,7.85,8.6,15.25,9.3,7.8,37, Binh Dinh,Mien Trung - TN
300511,300512,5.0,4.0,3.2,3.25,3.5,3.25,2.5,4.75,5.5,,11.75,11.75,11.25,12.2,11.45,37, Binh Dinh,Mien Trung - TN
300512,300513,3.4,4.0,1.8,2.0,2.5,3.75,2.25,3.75,6.0,,7.9,9.65,10.0,9.2,7.2,37, Binh Dinh,Mien Trung - TN
300530,300531,2.2,4.25,4.2,3.5,5.0,3.75,3.5,5.0,8.5,,10.7,10.95,12.75,10.65,9.9,37, Binh Dinh,Mien Trung - TN
300532,300533,4.2,2.25,1.8,2.5,3.0,4.75,4.25,5.25,5.0,,9.7,11.95,11.75,8.25,8.5,37, Binh Dinh,Mien Trung - TN
300534,300535,5.2,5.75,3.4,4.5,4.0,4.5,2.5,6.25,7.0,,13.7,13.7,14.5,14.35,13.1,37, Binh Dinh,Mien Trung - TN
300535,300536,3.4,3.0,1.6,2.0,4.25,3.0,3.0,4.5,7.75,,9.65,10.65,10.5,8,7.0,37, Binh Dinh,Mien Trung - TN
300536,300537,5.4,3.5,2.4,3.0,2.75,4.5,3.0,5.0,8.25,,11.15,12.65,11.5,11.3,10.8,37, Binh Dinh,Mien Trung - TN
300537,300538,4.6,5.75,2.8,2.75,4.0,5.75,4.75,6.0,6.25,,11.35,14.35,16.5,13.15,10.15,37, Binh Dinh,Mien Trung - TN
300538,300539,3.2,3.5,2.8,3.25,3.0,1.75,2.25,4.25,7.25,,9.45,7.95,10.0,9.5,9.25,37, Binh Dinh,Mien Trung - TN
300539,300540,2.6,5.443449140406064,3.2,2.25,3.0,3.5,2.75,4.75,5.25,,7.85,9.1,,14.2,8.05,37, Binh Dinh,Mien Trung - TN
300544,300545,4.4,6.5,1.4,3.0,2.75,6.0,5.0,5.5,8.5,,10.15,13.15,17.0,12.3,8.8,37, Binh Dinh,Mien Trung - TN
300546,300547,5.2,5.75,3.6,3.25,2.25,4.25,4.5,1.75,7.75,,10.7,11.7,12.0,14.55,12.05,37, Binh Dinh,Mien Trung - TN
300548,300549,5.4,6.5,2.6,2.5,4.5,5.0,2.25,3.75,6.25,,12.4,14.9,12.5,14.5,10.5,37, Binh Dinh,Mien Trung - TN
300550,300551,4.0,5.0,3.0,3.75,3.0,4.25,2.5,6.25,5.25,,10.75,11.25,13.75,12,10.75,37, Binh Dinh,Mien Trung - TN
300562,300563,4.6,7.25,3.2,4.0,4.0,3.0,2.75,4.75,5.75,,12.6,11.6,14.75,15.05,11.8,37, Binh Dinh,Mien Trung - TN
300563,300564,4.6,5.5,4.2,2.25,3.75,4.25,3.5,5.25,7.25,,10.6,12.6,14.25,14.3,11.05,37, Binh Dinh,Mien Trung - TN
300564,300565,2.8,5.5,3.8,2.0,3.75,4.75,2.75,3.0,8.75,,8.55,11.3,11.25,12.1,8.6,37, Binh Dinh,Mien Trung - TN
300565,300566,5.4,4.5,3.6,4.5,4.25,5.0,5.0,8.5,6.25,,14.15,14.65,18.0,13.5,13.5,37, Binh Dinh,Mien Trung - TN
300568,300569,5.0,3.75,2.6,4.25,5.5,4.0,2.75,3.0,6.0,,14.75,14.5,9.5,11.35,11.85,37, Binh Dinh,Mien Trung - TN
300569,300570,5.2,5.75,3.6,3.75,3.25,2.25,2.5,4.0,7.0,,12.2,10.7,12.25,14.55,12.55,37, Binh Dinh,Mien Trung - TN
300577,300578,5.4,3.5,3.2,3.75,3.0,2.75,2.25,5.5,6.5,,12.15,11.15,11.25,12.1,12.35,37, Binh Dinh,Mien Trung - TN
300579,300580,4.8,4.0,4.6,1.5,1.75,4.75,4.0,5.25,5.75,,8.05,11.3,13.25,13.4,10.9,37, Binh Dinh,Mien Trung - TN
300584,300585,3.6,6.0,4.8,3.0,4.0,3.75,3.5,4.0,8.0,,10.6,11.35,13.5,14.4,11.4,37, Binh Dinh,Mien Trung - TN
300586,300587,4.6,6.5,3.8,1.75,3.5,4.75,2.25,4.5,7.5,,9.85,12.85,13.25,14.9,10.15,37, Binh Dinh,Mien Trung - TN
300613,300614,3.2,3.75,1.6,2.75,2.75,3.5,4.0,5.5,7.25,,8.7,9.45,13.25,8.55,7.55,37, Binh Dinh,Mien Trung - TN
300638,300639,4.2,4.0,4.2,3.25,3.5,4.25,3.25,7.0,8.25,,10.95,11.95,14.25,12.4,11.65,37, Binh Dinh,Mien Trung - TN
300641,300642,7.2,8.0,3.8,5.0,4.75,5.5,4.5,5.75,7.5,,16.95,17.45,18.25,19,16.0,37, Binh Dinh,Mien Trung - TN
300644,300645,4.0,5.25,2.6,4.25,2.5,3.75,3.0,4.0,7.75,,10.75,10.25,12.25,11.85,10.85,37, Binh Dinh,Mien Trung - TN
300705,300706,3.0,3.0,3.2,3.0,4.5,4.25,2.25,6.0,5.25,,10.5,11.75,11.25,9.2,9.2,37, Binh Dinh,Mien Trung - TN
300706,300707,3.4,4.5,4.0,4.0,2.75,3.75,3.0,3.75,7.0,,10.15,9.9,11.25,11.9,11.4,37, Binh Dinh,Mien Trung - TN
300708,300709,3.2,4.5,2.6,3.5,3.5,2.25,2.75,5.5,6.5,,10.2,8.95,12.75,10.3,9.3,37, Binh Dinh,Mien Trung - TN
300711,300712,4.4,6.5,3.8,2.25,1.75,3.25,3.0,3.75,9.0,,8.4,9.4,13.25,14.7,10.45,37, Binh Dinh,Mien Trung - TN
300712,300713,5.6,5.5,2.0,4.0,2.75,3.5,4.25,5.0,8.5,,12.35,11.85,14.75,13.1,11.6,37, Binh Dinh,Mien Trung - TN
300724,300725,5.0,6.25,2.6,4.75,5.5,4.0,2.75,5.0,8.0,,15.25,14.5,14.0,13.85,12.35,37, Binh Dinh,Mien Trung - TN
300754,300755,2.6,3.5,3.0,2.5,2.5,3.75,3.75,2.25,5.75,,7.6,8.85,9.5,9.1,8.1,37, Binh Dinh,Mien Trung - TN
300759,300760,5.2,2.25,1.6,2.0,2.0,1.5,2.75,4.25,6.75,,9.2,8.7,9.25,9.05,8.8,37, Binh Dinh,Mien Trung - TN
300765,300766,3.0,1.5,2.4,2.5,2.25,3.25,3.0,4.25,6.0,,7.75,8.5,8.75,6.9,7.9,37, Binh Dinh,Mien Trung - TN
300766,300767,3.4,3.5,2.4,3.75,3.5,1.25,3.75,3.25,7.25,,10.65,8.15,10.5,9.3,9.55,37, Binh Dinh,Mien Trung - TN
300772,300773,3.4,4.75,2.6,3.0,2.25,4.5,4.0,6.0,7.25,,8.65,10.15,14.75,10.75,9.0,37, Binh Dinh,Mien Trung - TN
300778,300779,3.8,4.5,3.0,5.0,3.5,3.75,3.5,6.25,5.75,,12.3,11.05,14.25,11.3,11.8,37, Binh Dinh,Mien Trung - TN
300782,300783,3.6,4.5,4.2,3.5,2.5,3.5,3.0,4.0,5.5,,9.6,9.6,11.5,12.3,11.3,37, Binh Dinh,Mien Trung - TN
300786,300787,3.2,3.0,3.0,2.25,3.75,3.0,2.5,4.25,6.0,,9.2,9.95,9.75,9.2,8.45,37, Binh Dinh,Mien Trung - TN
300787,300788,2.8,4.0,2.4,1.75,3.0,3.0,2.75,4.0,8.25,,7.55,8.8,10.75,9.2,6.95,37, Binh Dinh,Mien Trung - TN
300788,300789,3.8,4.5,3.2,2.5,3.25,1.75,3.5,5.75,8.75,,9.55,8.8,13.75,11.5,9.5,37, Binh Dinh,Mien Trung - TN
300789,300790,4.0,4.75,2.0,3.75,3.25,4.0,2.5,3.5,9.0,,11.0,11.25,10.75,10.75,9.75,37, Binh Dinh,Mien Trung - TN
300790,300791,6.2,7.25,4.6,5.75,5.25,4.75,4.0,4.75,6.5,,17.2,16.2,16.0,18.05,16.55,37, Binh Dinh,Mien Trung - TN
300793,300794,4.4,3.25,4.0,3.25,2.75,5.75,3.75,4.5,7.75,,10.4,12.9,11.5,11.65,11.65,37, Binh Dinh,Mien Trung - TN
300794,300795,4.2,4.5,2.4,1.5,3.5,3.0,4.0,7.0,8.25,,9.2,10.7,15.5,11.1,8.1,37, Binh Dinh,Mien Trung - TN
300795,300796,6.6,6.75,2.6,6.75,4.25,4.25,2.25,6.75,8.25,,17.6,15.1,15.75,15.95,15.95,37, Binh Dinh,Mien Trung - TN
300796,300797,5.8,4.75,3.8,4.0,4.75,3.75,5.5,6.5,7.25,,14.55,14.3,16.75,14.35,13.6,37, Binh Dinh,Mien Trung - TN
300797,300798,3.2,5.25,3.8,4.5,4.25,4.0,2.25,5.5,7.0,,11.95,11.45,13.0,12.25,11.5,37, Binh Dinh,Mien Trung - TN
300798,300799,2.8,4.0,1.6,4.0,3.25,3.0,2.75,8.25,7.75,,10.05,9.05,15.0,8.4,8.4,37, Binh Dinh,Mien Trung - TN
300823,300824,2.6,4.5,2.6,2.5,2.75,2.25,4.25,5.5,7.5,,7.85,7.6,14.25,9.7,7.7,37, Binh Dinh,Mien Trung - TN
300840,300841,4.8,5.5,3.0,4.5,3.75,4.0,3.5,6.25,7.75,,13.05,12.55,15.25,13.3,12.3,37, Binh Dinh,Mien Trung - TN
300842,300843,2.8,6.5,2.0,2.75,2.75,2.5,3.25,4.75,6.5,,8.3,8.05,14.5,11.3,7.55,37, Binh Dinh,Mien Trung - TN
300843,300844,5.6,5.25,2.4,3.5,3.75,2.5,2.5,4.5,6.0,,12.85,11.85,12.25,13.25,11.5,37, Binh Dinh,Mien Trung - TN
300845,300846,5.4,5.0,3.8,3.25,3.25,2.5,2.75,4.75,6.5,,11.9,11.15,12.5,14.2,12.45,37, Binh Dinh,Mien Trung - TN
300846,300847,4.8,5.5,3.2,3.75,5.25,3.25,2.5,4.0,7.0,,13.8,13.3,12.0,13.5,11.75,37, Binh Dinh,Mien Trung - TN
300848,300849,3.6,7.0,3.6,3.25,2.75,3.75,1.5,5.25,5.5,,9.6,10.1,13.75,14.2,10.45,37, Binh Dinh,Mien Trung - TN
300850,300851,6.0,6.25,3.0,3.5,4.25,4.0,3.75,6.0,6.75,,13.75,14.25,16.0,15.25,12.5,37, Binh Dinh,Mien Trung - TN
300856,300857,5.4,4.5,2.6,2.75,3.0,6.0,2.75,3.25,7.0,,11.15,14.4,10.5,12.5,10.75,37, Binh Dinh,Mien Trung - TN
300860,300861,3.6,7.0,2.4,4.25,2.25,3.25,3.25,4.75,8.0,,10.1,9.1,15.0,13,10.25,37, Binh Dinh,Mien Trung - TN
300869,300870,3.6,5.25,5.2,3.0,2.25,3.25,3.0,3.75,6.25,,8.85,9.1,12.0,14.05,11.8,37, Binh Dinh,Mien Trung - TN
300887,300888,2.6,3.75,2.2,2.5,1.25,4.5,2.25,2.5,7.0,,6.35,8.35,8.5,8.55,7.3,37, Binh Dinh,Mien Trung - TN
300899,300900,3.2,3.0,2.6,1.5,2.5,3.0,3.5,3.75,5.75,,7.2,8.7,10.25,8.8,7.3,37, Binh Dinh,Mien Trung - TN
